population,fit,lwr,upr
1e3,0.6837785625285658,-1.3824020311923708,2.7499591562495023
2e3,0.6914665533310358,-1.3747128181140877,2.7576459247761593
3e3,0.6991545441335058,-1.3670236162167884,2.7653327044838
4e3,0.7068425349359757,-1.359334425500491,2.7730194953724423
5e3,0.7145305257384458,-1.3516452459652155,2.780706297442107
6e3,0.7222185165409157,-1.3439560776109816,2.788393110692813
7e3,0.7299065073433857,-1.3362669204378088,2.79607993512458
8e3,0.7375944981458556,-1.3285777744457148,2.8037667707374263
9e3,0.7452824889483256,-1.3208886396347193,2.8114536175313702
1e4,0.7529704797507956,-1.3131995160048406,2.8191404755064315
11e3,0.7606584705532655,-1.3055104035560974,2.8268273446626284
12e3,0.7683464613557355,-1.297821302288507,2.834514224999978
13e3,0.7760344521582054,-1.2901322122020884,2.842201116518499
14e3,0.7837224429606755,-1.2824431332968589,2.84988801921821
15e3,0.7914104337631455,-1.274754065572837,2.857574933099128
16e3,0.7990984245656154,-1.2670650090300386,2.8652618581612694
17e3,0.8067864153680854,-1.2593759636684823,2.8729487944046532
18e3,0.8144744061705553,-1.2516869294881852,2.8806357418292956
19e3,0.8221623969730253,-1.2439979064891635,2.888322700435214
2e4,0.8298503877754952,-1.2363088946714345,2.896009670222425
21e3,0.8375383785779652,-1.2286198940350141,2.9036966511909448
22e3,0.8452263693804352,-1.2209309045799197,2.9113836433407903
23e3,0.8529143601829052,-1.2132419263061676,2.919070646671978
24e3,0.8606023509853751,-1.2055529592137724,2.9267576611845225
25e3,0.8682903417878451,-1.197864003302751,2.9344446868784413
26e3,0.8759783325903151,-1.1901750585731192,2.9421317237537497
27e3,0.8836663233927851,-1.1824861250248915,2.9498187718104614
28e3,0.891354314195255,-1.1747972026580848,2.9575058310485947
29e3,0.899042304997725,-1.1671082914727124,2.9651929014681624
3e4,0.9067302958001949,-1.1594193914687905,2.9728799830691806
31e3,0.9144182866026649,-1.1517305026463338,2.9805670758516634
32e3,0.9221062774051348,-1.1440416250053564,2.988254179815626
33e3,0.9297942682076048,-1.1363527585458728,2.9959412949610824
34e3,0.9374822590100749,-1.1286639032678973,3.003628421288047
35e3,0.9451702498125447,-1.120975059171444,3.0113155587965332
36e3,0.9528582406150148,-1.1132862262565266,3.019002707486556
37e3,0.9605462314174847,-1.105597404523159,3.026689867358128
38e3,0.9682342222199547,-1.0979085939713542,3.0343770384112636
39e3,0.9759222130224247,-1.090219794601126,3.0420642206459756
4e4,0.9836102038248946,-1.0825310064124876,3.0497514140622766
41e3,0.9912981946273647,-1.0748422294054516,3.057438618660181
42e3,0.9989861854298345,-1.0671534635800306,3.0651258344396997
43e3,1.0066741762323046,-1.059464708936238,3.072813061400847
44e3,1.0143621670347744,-1.0517759654740855,3.080500299543634
