state,county,hospitals,coverage,avg_score,state_name,population,poverty,percent,poverty_percent,original_county,fit,lwr,upr,result
IN,DECATUR,1.0,27.0,9.0,indiana,26511,3404.0,13.1,0.1,Decatur County,1.0,-1.0,3.0,In Range
IN,DEKALB,1.0,43.0,13.0,indiana,42508,4224.0,10.1,0.1,DeKalb County,1.0,-1.0,3.0,In Range
IN,DELAWARE,1.0,117.0,21.0,indiana,117201,23985.0,22.2,0.2,Delaware County,2.0,-0.0,4.0,In Range
IN,DUBOIS,1.0,42.0,26.0,indiana,42364,3312.0,8.0,0.1,Dubois County,1.0,-1.0,3.0,In Range
IN,ELKHART,2.0,101.0,24.0,indiana,201739,27469.0,13.9,0.1,Elkhart County,2.0,0.0,4.0,In Range
IN,FAYETTE,1.0,23.0,28.0,indiana,23466,3765.0,16.4,0.2,Fayette County,1.0,-1.0,3.0,In Range
IN,FLOYD,2.0,38.0,NA,indiana,76233,8644.0,11.6,0.1,Floyd County,1.0,-1.0,3.0,In Range
IN,FOUNTAIN,0.0,0.0,NA,indiana,16723,2393.0,14.6,0.1,Fountain County,1.0,-1.0,3.0,In Range
IN,FRANKLIN,0.0,0.0,NA,indiana,22898,2522.0,11.1,0.1,Franklin County,1.0,-1.0,3.0,In Range
IN,FULTON,1.0,20.0,NA,indiana,20483,2631.0,13.0,0.1,Fulton County,1.0,-1.0,3.0,In Range
IN,GIBSON,1.0,34.0,15.0,indiana,33845,3871.0,11.8,0.1,Gibson County,1.0,-1.0,3.0,In Range
IN,GRANT,1.0,69.0,19.0,indiana,68631,12684.0,20.0,0.2,Grant County,1.0,-1.0,3.0,In Range
IN,GREENE,1.0,33.0,NA,indiana,32733,4989.0,15.5,0.2,Greene County,1.0,-1.0,3.0,In Range
IN,HAMILTON,6.0,51.0,NA,indiana,303278,14813.0,4.9,0.0,Hamilton County,3.0,1.0,5.0,Over
IN,HANCOCK,1.0,72.0,25.0,indiana,71963,4907.0,6.9,0.1,Hancock County,1.0,-1.0,3.0,In Range
IN,HARRISON,1.0,39.0,8.0,indiana,39238,3858.0,10.0,0.1,Harrison County,1.0,-1.0,3.0,In Range
IN,HENDRICKS,2.0,78.0,24.5,indiana,156083,9634.0,6.4,0.1,Hendricks County,2.0,-0.0,4.0,In Range
IN,HENRY,1.0,49.0,22.0,indiana,49072,7012.0,15.5,0.1,Henry County,1.0,-1.0,3.0,In Range
IN,HOWARD,2.0,41.0,30.0,indiana,82693,13655.0,16.8,0.2,Howard County,1.0,-1.0,3.0,In Range
IN,HUNTINGTON,1.0,37.0,15.0,indiana,36686,3768.0,10.7,0.1,Huntington County,1.0,-1.0,3.0,In Range
IN,JACKSON,1.0,44.0,12.0,indiana,43803,6379.0,14.9,0.1,Jackson County,1.0,-1.0,3.0,In Range
IN,JASPER,1.0,33.0,13.0,indiana,33464,3340.0,10.3,0.1,Jasper County,1.0,-1.0,3.0,In Range
IN,JAY,1.0,21.0,21.0,indiana,21147,4154.0,19.9,0.2,Jay County,1.0,-1.0,3.0,In Range
IN,JEFFERSON,1.0,33.0,15.0,indiana,32529,4913.0,16.2,0.2,Jefferson County,1.0,-1.0,3.0,In Range
IN,JENNINGS,1.0,28.0,24.0,indiana,27996,4814.0,17.5,0.2,Jennings County,1.0,-1.0,3.0,In Range
IN,JOHNSON,1.0,147.0,12.0,indiana,147489,14711.0,10.2,0.1,Johnson County,2.0,-0.0,4.0,In Range
IN,KNOX,1.0,38.0,23.0,indiana,37845,6141.0,17.4,0.2,Knox County,1.0,-1.0,3.0,In Range
IN,KOSCIUSKO,1.0,78.0,15.0,indiana,78445,9235.0,12.0,0.1,Kosciusko County,1.0,-1.0,3.0,In Range
IN,LAGRANGE,1.0,38.0,10.0,indiana,38462,4146.0,10.9,0.1,LaGrange County,1.0,-1.0,3.0,In Range
IN,LAKE,9.0,55.0,NA,indiana,490574,85233.0,17.6,0.2,Lake County,4.0,2.0,7.0,Over
IN,LAPORTE,2.0,56.0,13.0,indiana,111695,18671.0,17.9,0.2,LaPorte County,2.0,-1.0,4.0,In Range
IN,LAWRENCE,2.0,23.0,NA,indiana,45615,5622.0,12.5,0.1,Lawrence County,1.0,-1.0,3.0,In Range
IN,MADISON,3.0,43.0,NA,indiana,129999,20564.0,16.7,0.2,Madison County,2.0,-0.0,4.0,In Range
IN,MARION,9.0,104.0,NA,indiana,934531,194803.0,21.3,0.2,Marion County,8.0,6.0,10.0,In Range
IN,MARSHALL,2.0,24.0,NA,indiana,47013,5041.0,10.9,0.1,Marshall County,1.0,-1.0,3.0,In Range
IN,MARTIN,0.0,0.0,NA,indiana,10209,1351.0,13.5,0.1,Martin County,1.0,-1.0,3.0,In Range
IN,MIAMI,1.0,36.0,16.0,indiana,35983,5543.0,17.1,0.2,Miami County,1.0,-1.0,3.0,In Range
IN,MONROE,2.0,72.0,26.5,indiana,143571,30812.0,24.0,0.2,Monroe County,2.0,-0.0,4.0,In Range
IN,MONTGOMERY,1.0,38.0,13.0,indiana,38060,4544.0,12.3,0.1,Montgomery County,1.0,-1.0,3.0,In Range
IN,MORGAN,1.0,70.0,22.0,indiana,69590,7917.0,11.5,0.1,Morgan County,1.0,-1.0,3.0,In Range
IN,NEWTON,0.0,0.0,NA,indiana,14072,1607.0,11.5,0.1,Newton County,1.0,-1.0,3.0,In Range
IN,NOBLE,1.0,48.0,14.0,indiana,47595,5159.0,11.1,0.1,Noble County,1.0,-1.0,3.0,In Range
IN,OHIO,0.0,0.0,NA,indiana,6008,659.0,11.1,0.1,Ohio County,1.0,-1.0,3.0,In Range
IN,ORANGE,1.0,20.0,16.0,indiana,19686,3463.0,18.0,0.2,Orange County,1.0,-1.0,3.0,In Range
IN,OWEN,0.0,0.0,NA,indiana,21034,3180.0,15.4,0.2,Owen County,1.0,-1.0,3.0,In Range
IN,PARKE,0.0,0.0,NA,indiana,17227,2719.0,17.5,0.2,Parke County,1.0,-1.0,3.0,In Range
IN,PERRY,1.0,19.0,NA,indiana,19387,2754.0,15.5,0.1,Perry County,1.0,-1.0,3.0,In Range
IN,PIKE,0.0,0.0,NA,indiana,12641,1393.0,11.3,0.1,Pike County,1.0,-1.0,3.0,In Range
IN,PORTER,1.0,167.0,19.0,indiana,167308,16369.0,10.0,0.1,Porter County,2.0,-0.0,4.0,In Range
IN,POSEY,0.0,0.0,NA,indiana,25520,2703.0,10.7,0.1,Posey County,1.0,-1.0,3.0,In Range
IN,PULASKI,1.0,13.0,NA,indiana,12979,1806.0,14.2,0.1,Pulaski County,1.0,-1.0,3.0,In Range
IN,PUTNAM,1.0,38.0,NA,indiana,37660,4341.0,13.5,0.1,Putnam County,1.0,-1.0,3.0,In Range
IN,RANDOLPH,1.0,25.0,33.0,indiana,25341,4003.0,16.1,0.2,Randolph County,1.0,-1.0,3.0,In Range
IN,RIPLEY,1.0,29.0,13.0,indiana,28548,2980.0,10.7,0.1,Ripley County,1.0,-1.0,3.0,In Range
IN,RUSH,1.0,17.0,22.0,indiana,16834,2387.0,14.4,0.1,Rush County,1.0,-1.0,3.0,In Range
IN,SAINTJOSEPH,0.0,0.0,NA,indiana,267679,44228.0,17.2,0.2,St. Joseph County,3.0,1.0,5.0,Under
IN,SCOTT,1.0,24.0,NA,indiana,23678,4106.0,17.6,0.2,Scott County,1.0,-1.0,3.0,In Range
IN,SHELBY,1.0,45.0,4.0,indiana,44531,5142.0,11.8,0.1,Shelby County,1.0,-1.0,3.0,In Range
IN,SPENCER,0.0,0.0,NA,indiana,20831,1908.0,9.3,0.1,Spencer County,1.0,-1.0,3.0,In Range
IN,STARKE,1.0,23.0,6.0,indiana,23037,3552.0,15.5,0.2,Starke County,1.0,-1.0,3.0,In Range
IN,STEUBEN,1.0,34.0,25.0,indiana,34406,4208.0,12.8,0.1,Steuben County,1.0,-1.0,3.0,In Range
IN,SULLIVAN,1.0,21.0,NA,indiana,21003,3158.0,16.9,0.2,Sullivan County,1.0,-1.0,3.0,In Range
IN,SWITZERLAND,0.0,0.0,NA,indiana,10490,1793.0,17.4,0.2,Switzerland County,1.0,-1.0,3.0,In Range
IN,TIPPECANOE,2.0,92.0,11.5,indiana,183670,37311.0,22.1,0.2,Tippecanoe County,2.0,0.0,4.0,In Range
IN,TIPTON,1.0,15.0,10.0,indiana,15429,1448.0,9.5,0.1,Tipton County,1.0,-1.0,3.0,In Range
IN,UNION,0.0,0.0,NA,indiana,7225,988.0,13.8,0.1,Union County,1.0,-1.0,3.0,In Range
IN,VANDERBURGH,2.0,91.0,22.0,indiana,181918,30984.0,17.7,0.2,Vanderburgh County,2.0,0.0,4.0,In Range
IN,VERMILLION,1.0,16.0,14.0,indiana,15694,2135.0,13.9,0.1,Vermillion County,1.0,-1.0,3.0,In Range
IN,VIGO,2.0,54.0,15.0,indiana,108201,19910.0,20.2,0.2,Vigo County,2.0,-1.0,4.0,In Range
IN,WABASH,1.0,32.0,20.0,indiana,32282,4621.0,15.2,0.1,Wabash County,1.0,-1.0,3.0,In Range
IN,WARREN,1.0,8.0,NA,indiana,8330,811.0,9.9,0.1,Warren County,1.0,-1.0,3.0,In Range
IN,WARRICK,3.0,20.0,NA,indiana,61267,4926.0,8.2,0.1,Warrick County,1.0,-1.0,3.0,In Range
IN,WASHINGTON,1.0,28.0,19.0,indiana,27904,4455.0,16.2,0.2,Washington County,1.0,-1.0,3.0,In Range
IN,WAYNE,1.0,67.0,39.0,indiana,67447,11570.0,17.8,0.2,Wayne County,1.0,-1.0,3.0,In Range
IN,WELLS,1.0,28.0,19.0,indiana,27827,2916.0,10.7,0.1,Wells County,1.0,-1.0,3.0,In Range
IN,WHITE,1.0,24.0,NA,indiana,24408,2680.0,11.2,0.1,White County,1.0,-1.0,3.0,In Range
IN,WHITLEY,1.0,33.0,11.0,indiana,33412,3088.0,9.4,0.1,Whitley County,1.0,-1.0,3.0,In Range
IA,ADAIR,1.0,7.0,1.0,iowa,7417,751.0,10.3,0.1,Adair County,1.0,-1.0,3.0,In Range
IA,ADAMS,1.0,4.0,15.0,iowa,3871,466.0,12.2,0.1,Adams County,1.0,-1.0,3.0,In Range
IA,ALLAMAKEE,1.0,14.0,NA,iowa,14061,1701.0,12.4,0.1,Allamakee County,1.0,-1.0,3.0,In Range
IA,APPANOOSE,1.0,13.0,NA,iowa,12628,2191.0,17.5,0.2,Appanoose County,1.0,-1.0,3.0,In Range
IA,AUDUBON,1.0,6.0,8.0,iowa,5793,626.0,11.1,0.1,Audubon County,1.0,-1.0,3.0,In Range
IA,BENTON,1.0,26.0,NA,iowa,25659,2220.0,8.8,0.1,Benton County,1.0,-1.0,3.0,In Range
IA,BLACKHAWK,3.0,44.0,21.333333333333332,iowa,133121,18419.0,14.5,0.1,Black Hawk County,2.0,-0.0,4.0,In Range
IA,BOONE,1.0,26.0,18.0,iowa,26420,2671.0,10.4,0.1,Boone County,1.0,-1.0,3.0,In Range
IA,BREMER,2.0,12.0,20.0,iowa,24598,1734.0,7.6,0.1,Bremer County,1.0,-1.0,3.0,In Range
IA,BUCHANAN,1.0,21.0,NA,iowa,21087,2208.0,10.7,0.1,Buchanan County,1.0,-1.0,3.0,In Range
IA,BUENAVISTA,1.0,21.0,22.0,iowa,20680,2415.0,12.4,0.1,Buena Vista County,1.0,-1.0,3.0,In Range
IA,BUTLER,0.0,0.0,NA,iowa,14972,1454.0,9.9,0.1,Butler County,1.0,-1.0,3.0,In Range
IA,CALHOUN,1.0,10.0,25.0,iowa,9857,1261.0,13.7,0.1,Calhoun County,1.0,-1.0,3.0,In Range
IA,CARROLL,2.0,10.0,NA,iowa,20554,2001.0,9.9,0.1,Carroll County,1.0,-1.0,3.0,In Range
IA,CASS,1.0,13.0,NA,iowa,13424,1717.0,13.1,0.1,Cass County,1.0,-1.0,3.0,In Range
IA,CEDAR,0.0,0.0,NA,iowa,18380,1432.0,7.9,0.1,Cedar County,1.0,-1.0,3.0,In Range
IA,CERROGORDO,1.0,43.0,34.0,iowa,43211,5047.0,12.0,0.1,Cerro Gordo County,1.0,-1.0,3.0,In Range
IA,CHEROKEE,1.0,12.0,NA,iowa,11817,1099.0,9.6,0.1,Cherokee County,1.0,-1.0,3.0,In Range
IA,CHICKASAW,1.0,12.0,NA,iowa,12197,1183.0,9.8,0.1,Chickasaw County,1.0,-1.0,3.0,In Range
IA,CLARKE,1.0,9.0,NA,iowa,9223,1305.0,14.4,0.1,Clarke County,1.0,-1.0,3.0,In Range
IA,CLAY,1.0,17.0,0.0,iowa,16520,1858.0,11.5,0.1,Clay County,1.0,-1.0,3.0,In Range
IA,CLAYTON,2.0,9.0,NA,iowa,17702,1878.0,10.8,0.1,Clayton County,1.0,-1.0,3.0,In Range
IA,CLINTON,2.0,24.0,12.0,iowa,47929,6050.0,12.9,0.1,Clinton County,1.0,-1.0,3.0,In Range
IA,CRAWFORD,1.0,17.0,NA,iowa,17205,1965.0,11.6,0.1,Crawford County,1.0,-1.0,3.0,In Range
IA,DALLAS,1.0,78.0,22.0,iowa,77516,4745.0,6.2,0.1,Dallas County,1.0,-1.0,3.0,In Range
IA,DAVIS,1.0,9.0,NA,iowa,8752,1330.0,15.4,0.2,Davis County,1.0,-1.0,3.0,In Range
IA,DECATUR,1.0,8.0,NA,iowa,8257,1586.0,21.3,0.2,Decatur County,1.0,-1.0,3.0,In Range
IA,DELAWARE,1.0,17.0,9.0,iowa,17419,1532.0,8.9,0.1,Delaware County,1.0,-1.0,3.0,In Range
IA,DESMOINES,1.0,40.0,21.0,iowa,40211,6208.0,15.7,0.2,Des Moines County,1.0,-1.0,3.0,In Range
IA,DICKINSON,1.0,17.0,23.0,iowa,16928,1234.0,7.4,0.1,Dickinson County,1.0,-1.0,3.0,In Range
IA,DUBUQUE,3.0,32.0,NA,iowa,96587,10654.0,11.5,0.1,Dubuque County,1.0,-1.0,3.0,In Range
IA,EMMET,1.0,10.0,15.0,iowa,9866,1074.0,11.3,0.1,Emmet County,1.0,-1.0,3.0,In Range
IA,FAYETTE,2.0,10.0,NA,iowa,20370,2807.0,14.4,0.1,Fayette County,1.0,-1.0,3.0,In Range
IA,FLOYD,1.0,16.0,14.0,iowa,16027,2010.0,12.7,0.1,Floyd County,1.0,-1.0,3.0,In Range
IA,FRANKLIN,1.0,10.0,NA,iowa,10423,1234.0,12.1,0.1,Franklin County,1.0,-1.0,3.0,In Range
IA,FREMONT,1.0,7.0,34.0,iowa,7039,804.0,11.7,0.1,Fremont County,1.0,-1.0,3.0,In Range
IA,GREENE,1.0,9.0,NA,iowa,9204,1192.0,13.2,0.1,Greene County,1.0,-1.0,3.0,In Range
IA,GRUNDY,1.0,12.0,NA,iowa,12377,812.0,6.7,0.1,Grundy County,1.0,-1.0,3.0,In Range
IA,GUTHRIE,1.0,11.0,NA,iowa,10709,1304.0,12.4,0.1,Guthrie County,1.0,-1.0,3.0,In Range
IA,HAMILTON,1.0,15.0,NA,iowa,15179,1400.0,9.4,0.1,Hamilton County,1.0,-1.0,3.0,In Range
IA,HANCOCK,1.0,11.0,NA,iowa,10987,914.0,8.4,0.1,Hancock County,1.0,-1.0,3.0,In Range
IA,HARDIN,1.0,17.0,NA,iowa,17371,1916.0,11.7,0.1,Hardin County,1.0,-1.0,3.0,In Range
IA,HARRISON,1.0,14.0,NA,iowa,14337,1540.0,11.0,0.1,Harrison County,1.0,-1.0,3.0,In Range
IA,HENRY,1.0,20.0,NA,iowa,19962,2487.0,13.3,0.1,Henry County,1.0,-1.0,3.0,In Range
IA,HOWARD,1.0,9.0,NA,iowa,9441,1124.0,12.1,0.1,Howard County,1.0,-1.0,3.0,In Range
IA,HUMBOLDT,1.0,10.0,10.0,iowa,9624,956.0,10.1,0.1,Humboldt County,1.0,-1.0,3.0,In Range
IA,IDA,1.0,7.0,14.0,iowa,7025,754.0,10.9,0.1,Ida County,1.0,-1.0,3.0,In Range
IA,IOWA,1.0,16.0,NA,iowa,16390,1211.0,7.5,0.1,Iowa County,1.0,-1.0,3.0,In Range
IA,JACKSON,1.0,19.0,20.0,iowa,19460,2172.0,11.3,0.1,Jackson County,1.0,-1.0,3.0,In Range
IA,JASPER,1.0,37.0,20.0,iowa,36866,3923.0,11.2,0.1,Jasper County,1.0,-1.0,3.0,In Range
IA,JEFFERSON,1.0,17.0,NA,iowa,17486,2673.0,16.9,0.2,Jefferson County,1.0,-1.0,3.0,In Range
IA,JOHNSON,2.0,71.0,18.5,iowa,142421,21391.0,15.9,0.2,Johnson County,2.0,-0.0,4.0,In Range
IA,JONES,1.0,20.0,NA,iowa,20496,2232.0,11.6,0.1,Jones County,1.0,-1.0,3.0,In Range
IA,KEOKUK,1.0,10.0,15.0,iowa,10225,1362.0,13.5,0.1,Keokuk County,1.0,-1.0,3.0,In Range
IA,KOSSUTH,1.0,15.0,NA,iowa,15224,1442.0,9.6,0.1,Kossuth County,1.0,-1.0,3.0,In Range
IA,LEE,2.0,18.0,31.0,iowa,35210,5991.0,17.7,0.2,Lee County,1.0,-1.0,3.0,In Range
IA,LINN,2.0,109.0,24.0,iowa,217819,19779.0,9.3,0.1,Linn County,2.0,0.0,4.0,In Range
IA,LOUISA,0.0,0.0,NA,iowa,11179,1216.0,11.1,0.1,Louisa County,1.0,-1.0,3.0,In Range
IA,LUCAS,1.0,9.0,14.0,iowa,8673,1376.0,16.0,0.2,Lucas County,1.0,-1.0,3.0,In Range
IA,LYON,1.0,12.0,12.0,iowa,11695,906.0,7.9,0.1,Lyon County,1.0,-1.0,3.0,In Range
IA,MADISON,1.0,16.0,NA,iowa,15611,1357.0,8.8,0.1,Madison County,1.0,-1.0,3.0,In Range
IA,MAHASKA,1.0,22.0,NA,iowa,22342,2797.0,12.9,0.1,Mahaska County,1.0,-1.0,3.0,In Range
IA,MARION,2.0,17.0,NA,iowa,33257,3538.0,11.1,0.1,Marion County,1.0,-1.0,3.0,In Range
IA,MARSHALL,1.0,41.0,35.0,iowa,40896,5113.0,13.0,0.1,Marshall County,1.0,-1.0,3.0,In Range
IA,MILLS,0.0,0.0,NA,iowa,14754,1384.0,9.7,0.1,Mills County,1.0,-1.0,3.0,In Range
IA,MITCHELL,1.0,11.0,NA,iowa,10788,1209.0,11.5,0.1,Mitchell County,1.0,-1.0,3.0,In Range
IA,MONONA,1.0,9.0,NA,iowa,8979,1254.0,14.3,0.1,Monona County,1.0,-1.0,3.0,In Range
IA,MONROE,1.0,8.0,16.0,iowa,7965,916.0,11.7,0.1,Monroe County,1.0,-1.0,3.0,In Range
IA,MONTGOMERY,1.0,10.0,NA,iowa,10438,1961.0,19.3,0.2,Montgomery County,1.0,-1.0,3.0,In Range
IA,MUSCATINE,1.0,43.0,22.0,iowa,42939,4799.0,11.4,0.1,Muscatine County,1.0,-1.0,3.0,In Range
IA,OBRIEN,2.0,7.0,NA,iowa,14066,1417.0,10.3,0.1,O'Brien County,1.0,-1.0,3.0,In Range
IA,OSCEOLA,1.0,6.0,NA,iowa,6203,557.0,9.1,0.1,Osceola County,1.0,-1.0,3.0,In Range
IA,PAGE,2.0,8.0,NA,iowa,15543,2056.0,14.6,0.1,Page County,1.0,-1.0,3.0,In Range
IA,PALOALTO,1.0,9.0,NA,iowa,9105,1001.0,11.5,0.1,Palo Alto County,1.0,-1.0,3.0,In Range
IA,PLYMOUTH,1.0,25.0,NA,iowa,24851,1863.0,7.6,0.1,Plymouth County,1.0,-1.0,3.0,In Range
IA,POCAHONTAS,1.0,7.0,NA,iowa,7125,897.0,12.9,0.1,Pocahontas County,1.0,-1.0,3.0,In Range
IA,POLK,4.0,115.0,32.0,iowa,460341,58971.0,13.1,0.1,Polk County,4.0,2.0,6.0,In Range
IA,POTTAWATTAMIE,2.0,47.0,27.0,iowa,93207,11120.0,12.3,0.1,Pottawattamie County,1.0,-1.0,3.0,In Range
IA,POWESHIEK,1.0,19.0,29.0,iowa,18701,2063.0,12.1,0.1,Poweshiek County,1.0,-1.0,3.0,In Range
IA,RINGGOLD,1.0,5.0,NA,iowa,5033,804.0,16.6,0.2,Ringgold County,1.0,-1.0,3.0,In Range
IA,SAC,1.0,10.0,10.0,iowa,10043,1060.0,10.8,0.1,Sac County,1.0,-1.0,3.0,In Range
IA,SCOTT,2.0,86.0,23.0,iowa,171437,20437.0,12.2,0.1,Scott County,2.0,-0.0,4.0,In Range
IA,SHELBY,1.0,12.0,19.0,iowa,11962,1118.0,9.6,0.1,Shelby County,1.0,-1.0,3.0,In Range
IA,SIOUX,4.0,9.0,NA,iowa,34699,2405.0,7.5,0.1,Sioux County,1.0,-1.0,3.0,Over
IA,STORY,2.0,48.0,NA,iowa,95456,16276.0,19.5,0.2,Story County,1.0,-1.0,3.0,In Range
IA,TAMA,0.0,0.0,NA,iowa,17400,2210.0,12.9,0.1,Tama County,1.0,-1.0,3.0,In Range
IA,TAYLOR,0.0,0.0,NA,iowa,6150,793.0,13.1,0.1,Taylor County,1.0,-1.0,3.0,In Range
IA,UNION,1.0,13.0,15.0,iowa,12626,1560.0,12.8,0.1,Union County,1.0,-1.0,3.0,In Range
IA,VANBUREN,1.0,7.0,NA,iowa,7415,1063.0,14.4,0.1,Van Buren County,1.0,-1.0,3.0,In Range
IA,WAPELLO,1.0,35.0,16.0,iowa,35240,5709.0,16.7,0.2,Wapello County,1.0,-1.0,3.0,In Range
IA,WARREN,0.0,0.0,NA,iowa,47979,2925.0,6.3,0.1,Warren County,1.0,-1.0,3.0,In Range
IA,WASHINGTON,1.0,22.0,NA,iowa,22087,2210.0,10.2,0.1,Washington County,1.0,-1.0,3.0,In Range
IA,WAYNE,1.0,6.0,NA,iowa,6387,1050.0,16.7,0.2,Wayne County,1.0,-1.0,3.0,In Range
IA,WEBSTER,1.0,37.0,21.0,iowa,37053,5550.0,16.3,0.1,Webster County,1.0,-1.0,3.0,In Range
IA,WINNEBAGO,0.0,0.0,NA,iowa,10606,1056.0,10.4,0.1,Winnebago County,1.0,-1.0,3.0,In Range
IA,WINNESHIEK,1.0,21.0,17.0,iowa,20750,1747.0,9.4,0.1,Winneshiek County,1.0,-1.0,3.0,In Range
IA,WOODBURY,2.0,51.0,28.0,iowa,102486,15151.0,15.2,0.1,Woodbury County,1.0,-1.0,4.0,In Range
IA,WORTH,0.0,0.0,NA,iowa,7608,823.0,11.0,0.1,Worth County,1.0,-1.0,3.0,In Range
IA,WRIGHT,2.0,6.0,4.5,iowa,12872,1511.0,12.0,0.1,Wright County,1.0,-1.0,3.0,In Range
KS,ALLEN,1.0,13.0,13.0,kansas,12912,2267.0,18.2,0.2,Allen County,1.0,-1.0,3.0,In Range
KS,ANDERSON,1.0,8.0,20.0,kansas,7877,1107.0,14.3,0.1,Anderson County,1.0,-1.0,3.0,In Range
KS,ATCHISON,1.0,16.0,NA,kansas,16491,2666.0,17.4,0.2,Atchison County,1.0,-1.0,3.0,In Range
KS,BARBER,2.0,2.0,NA,kansas,4870,600.0,12.4,0.1,Barber County,1.0,-1.0,3.0,In Range
KS,BARTON,3.0,9.0,NA,kansas,27258,4739.0,17.8,0.2,Barton County,1.0,-1.0,3.0,In Range
KS,BOURBON,1.0,15.0,16.0,kansas,14776,2637.0,18.4,0.2,Bourbon County,1.0,-1.0,3.0,In Range
KS,BROWN,2.0,5.0,NA,kansas,9804,1680.0,17.3,0.2,Brown County,1.0,-1.0,3.0,In Range
KS,BUTLER,2.0,33.0,24.0,kansas,66183,7194.0,11.3,0.1,Butler County,1.0,-1.0,3.0,In Range
KS,CHASE,0.0,0.0,NA,kansas,2683,334.0,13.2,0.1,Chase County,1.0,-1.0,3.0,In Range
KS,CHAUTAUQUA,1.0,3.0,NA,kansas,3474,555.0,16.4,0.2,Chautauqua County,1.0,-1.0,3.0,In Range
KS,CHEROKEE,2.0,10.0,NA,kansas,20748,3573.0,17.4,0.2,Cherokee County,1.0,-1.0,3.0,In Range
KS,CHEYENNE,1.0,3.0,NA,kansas,2687,303.0,11.5,0.1,Cheyenne County,1.0,-1.0,3.0,In Range
KS,CLARK,2.0,1.0,NA,kansas,2120,270.0,13.0,0.1,Clark County,1.0,-1.0,3.0,In Range
KS,CLAY,1.0,8.0,20.0,kansas,8337,887.0,10.9,0.1,Clay County,1.0,-1.0,3.0,In Range
KS,CLOUD,1.0,9.0,NA,kansas,9331,1250.0,14.0,0.1,Cloud County,1.0,-1.0,3.0,In Range
KS,COFFEY,1.0,8.0,9.0,kansas,8444,905.0,10.9,0.1,Coffey County,1.0,-1.0,3.0,In Range
KS,COMANCHE,1.0,2.0,NA,kansas,1949,213.0,11.4,0.1,Comanche County,1.0,-1.0,3.0,In Range
KS,COWLEY,2.0,18.0,14.0,kansas,35920,5086.0,15.0,0.1,Cowley County,1.0,-1.0,3.0,In Range
KS,CRAWFORD,2.0,20.0,21.5,kansas,39374,7764.0,20.8,0.2,Crawford County,1.0,-1.0,3.0,In Range
KS,DECATUR,1.0,3.0,NA,kansas,2890,389.0,13.9,0.1,Decatur County,1.0,-1.0,3.0,In Range
KS,DICKINSON,2.0,10.0,NA,kansas,19360,2115.0,11.1,0.1,Dickinson County,1.0,-1.0,3.0,In Range
KS,DONIPHAN,0.0,0.0,NA,kansas,7846,1109.0,15.0,0.1,Doniphan County,1.0,-1.0,3.0,In Range
KS,DOUGLAS,1.0,116.0,17.0,kansas,116463,20961.0,19.4,0.2,Douglas County,2.0,-0.0,4.0,In Range
KS,EDWARDS,1.0,3.0,20.0,kansas,3022,314.0,10.5,0.1,Edwards County,1.0,-1.0,3.0,In Range
KS,ELK,0.0,0.0,NA,kansas,2693,461.0,17.4,0.2,Elk County,1.0,-1.0,3.0,In Range
KS,ELLIS,1.0,29.0,25.0,kansas,29006,3646.0,13.0,0.1,Ellis County,1.0,-1.0,3.0,In Range
KS,ELLSWORTH,1.0,6.0,40.0,kansas,6375,670.0,12.4,0.1,Ellsworth County,1.0,-1.0,3.0,In Range
KS,FINNEY,1.0,37.0,28.0,kansas,37147,6871.0,18.8,0.2,Finney County,1.0,-1.0,3.0,In Range
KS,FORD,1.0,35.0,8.0,kansas,34865,5106.0,15.0,0.1,Ford County,1.0,-1.0,3.0,In Range
KS,FRANKLIN,1.0,26.0,19.0,kansas,25614,3328.0,13.3,0.1,Franklin County,1.0,-1.0,3.0,In Range
KS,GEARY,1.0,37.0,17.0,kansas,36722,4966.0,13.9,0.1,Geary County,1.0,-1.0,3.0,In Range
KS,GOVE,1.0,3.0,NA,kansas,2706,277.0,10.4,0.1,Gove County,1.0,-1.0,3.0,In Range
KS,GRAHAM,1.0,3.0,14.0,kansas,2555,304.0,12.0,0.1,Graham County,1.0,-1.0,3.0,In Range
KS,GRANT,1.0,8.0,18.0,kansas,7792,844.0,10.9,0.1,Grant County,1.0,-1.0,3.0,In Range
KS,GRAY,0.0,0.0,NA,kansas,6095,497.0,8.3,0.1,Gray County,1.0,-1.0,3.0,In Range
KS,GREELEY,1.0,1.0,NA,kansas,1305,138.0,10.8,0.1,Greeley County,1.0,-1.0,3.0,In Range
KS,GREENWOOD,1.0,6.0,NA,kansas,6311,1048.0,16.9,0.2,Greenwood County,1.0,-1.0,3.0,In Range
KS,HAMILTON,1.0,3.0,NA,kansas,2593,333.0,12.8,0.1,Hamilton County,1.0,-1.0,3.0,In Range
KS,HARPER,2.0,3.0,NA,kansas,5832,733.0,12.9,0.1,Harper County,1.0,-1.0,3.0,In Range
KS,HARVEY,1.0,35.0,18.0,kansas,34797,4265.0,12.8,0.1,Harvey County,1.0,-1.0,3.0,In Range
KS,HASKELL,1.0,4.0,NA,kansas,4073,436.0,10.7,0.1,Haskell County,1.0,-1.0,3.0,In Range
KS,HODGEMAN,1.0,2.0,NA,kansas,1914,166.0,8.8,0.1,Hodgeman County,1.0,-1.0,3.0,In Range
